Sub-Category,Total_Volume,Avg_Order_Value,Sales_Volatility,Sales_Growth_Rate,Cluster,PCA1,PCA2
Accessories,2976,215.97460387096774,2626.6975273816943,1.3964253516811653,3,-0.07506660604476456,0.6199341440687428
Appliances,1729,230.75571030042917,1815.6304542281337,1.8030677865112597,1,0.09135825406143777,-0.13438345771289326
Art,3000,34.068834170854274,328.7367045394551,0.46296325026217267,2,-1.3518729565525096,-0.03327383375201216
Binders,5974,133.56056007879187,3910.019523169629,0.6737244237169794,3,-0.6282365718026619,2.366208654510401
Bookcases,868,503.8596328947368,2257.8446267814184,0.49844110177718404,1,0.17190880205391482,-0.862307914095136
Chairs,2356,532.3324197730956,4410.376282351865,0.23708138630695075,3,0.47357476086430034,0.323968273991048
Copiers,234,2198.9416176470586,5493.428966117034,4.796852982577661,0,4.875229624546813,0.3062358526271709
Envelopes,906,64.86772440944883,236.22362089062204,-0.12372489790626821,1,-1.1861655542471035,-1.3528028413886715
Fasteners,914,13.936774193548388,48.7938175799358,0.2963274993658732,1,-1.1339805933929468,-1.2797115881771144
Furnishings,3563,95.82566771159875,1368.173782042955,1.0912421095932852,2,-0.8228784270885527,0.6308114764732431
Labels,1400,34.303054945054946,225.11016416403203,0.35878980887238,1,-1.1241273886292815,-0.9629347055717927
Machines,440,1645.5533130434783,5603.554746739796,-0.2979263974179956,3,2.2232786218767484,-0.7322140652306645
Paper,5178,57.284091970802926,1038.195763351651,0.8667969896918002,2,-1.3587046459958467,1.4066461698604997
Phones,3289,371.21153430821147,4064.5612428107565,0.3611455972483703,3,0.06322866525584295,0.8156849075297947
Storage,3158,264.5905531914894,2820.5403842067853,0.3844339331169245,3,-0.3994047487354368,0.5106781993327756
Supplies,647,245.6502,2028.6524115542738,0.11499353598141601,1,-0.2967561365380946,-1.097688069784304
Tables,1241,648.7947711598746,3199.2694336840673,0.3212276159453746,3,0.47861490036814075,-0.5248512026810876
